State (rank),Year,% meeting 1,% meeting 3,% meeting 6
Alabama,2018,92.5,82,52.4
Alaska,2018,96.1,37.1,29.4
American Samoa,2018,98.6,20,0
Arizona,2018,96.8,43.9,36.6
Arkansas,2018,95,10.1,26.3
California,2018,97.8,44.2,67.4
Colorado,2018,null,null,null
Connecticut,2018,97.9,75.9,47.7
Delaware,2018,90.2,7.2,50
District of Columbia,2018,95.4,6.9,0
Florida,2018,88.2,72.8,36.3
Georgia,2018,95.3,22.8,33
Guam,2018,95.7,22,40
Hawaii,2018,97.1,57.1,38.2
Idaho,2018,94.3,70.3,41.7
Illinois,2018,96.7,51.5,51.5
Indiana,2018,96,60.4,41.5
Iowa,2018,96,52.6,41.9
Kansas,2018,96.7,60.4,65.2
Kentucky,2018,96.5,53.5,26
Louisiana,2018,96.2,53.3,54.7
Maine,2018,96.1,55.3,52.2
Marshall Islands,2018,88.8,35,60
Maryland,2018,97.3,52.3,57.6
Massachusetts,2018,97.9,74.7,66.8
Michigan,2018,95.8,22.9,38.3
Micronesia,2018,80.3,0,0
Minnesota,2018,96.2,40.7,37.3
Mississippi,2018,95.9,18.8,28.4
Missouri,2018,96.2,62.7,64.2
Montana,2018,95.1,12.6,58.3
Nebraska,2018,96.6,48.4,54.2
Nevada,2018,95.7,36.8,66.7
New Hampshire,2018,97.2,50.9,35.3
New Jersey,2018,97.7,35.6,32.1
New Mexico,2018,93.3,33.4,33.3
New York,2018,95.4,20.8,45.1
North Carolina,2018,97.4,27.9,48.7
North Dakota,2018,97.9,12.5,60.9
Northern Marianas,2018,99,11.3,50
Ohio,2018,95.8,59.3,31.3
Oklahoma,2018,99.3,7,39.4
Oregon,2018,96.4,71.5,59.2
Palau,2018,95.3,0,0
Pennsylvania,2018,95.5,64,39.4
Puerto Rico,2018,2.8,36.3,40.9
Rhode Island,2018,96.2,46.6,53.5
South Carolina,2018,96.2,34.8,47.5
South Dakota,2018,94.9,18,6.7
Tennessee,2018,97.1,46.4,42.6
Texas,2018,97.2,29.7,36.4
Utah,2018,97.3,71.7,62.1
Vermont,2018,96.6,78.3,100
Virgin Islands,2018,null,null,null
Virginia,2018,95.1,56.9,13.1
Washington,2018,96.3,33.7,56.3
West Virginia,2018,94.7,44.3,57.1
Wisconsin,2018,91.2,44.7,36.9
Wyoming,2018,97.8,75,70.6
Alabama,2019,null,null,null
Alaska,2019,94.8,44.3,37.5
American Samoa,2019,98.2,28.6,0
Arizona,2019,96.8,37.3,40.3
Arkansas,2019,95.1,10.3,37.1
California,2019,97.8,43.9,61.4
Colorado,2019,null,null,null
Connecticut,2019,98.1,70.1,43
Delaware,2019,94.7,8.7,18.8
District of Columbia,2019,96.4,5.5,0
Florida,2019,90.5,81.2,37.7
Georgia,2019,94.7,18.9,36
Guam,2019,97,2.7,33.3
Hawaii,2019,97.3,58.4,25
Idaho,2019,96.2,65.1,49
Illinois,2019,96.1,52.5,49.8
Indiana,2019,96.3,61.2,50.3
Iowa,2019,96,42.1,45.6
Kansas,2019,97.4,69.8,72.7
Kentucky,2019,96.7,56.6,1.7
Louisiana,2019,96,15.5,45.2
Maine,2019,96.2,55.7,50
Marshall Islands,2019,90.6,37,14.3
Maryland,2019,97.2,49.2,55.7
Massachusetts,2019,97.9,74.6,64
Michigan,2019,95.9,26.9,38.7
Micronesia,2019,86.4,1.6,0
Minnesota,2019,95.8,44.7,45.6
Mississippi,2019,null,null,null
Missouri,2019,96.1,52.4,49.5
Montana,2019,94.6,13.4,50
Nebraska,2019,96.5,35.3,49
Nevada,2019,95.3,38.5,59.3
New Hampshire,2019,96.9,31.6,42.9
New Jersey,2019,96.6,36.1,37.8
New Mexico,2019,93.3,32.8,38.7
New York,2019,95.3,19.3,44.6
North Carolina,2019,97.2,30.9,43.6
North Dakota,2019,97.7,17.4,43.8
Northern Marianas,2019,98.3,32.4,70
Ohio,2019,96.3,61.5,26.1
Oklahoma,2019,99.3,8.3,35.9
