State,Year,Metric,Forecasted_Value,CI_Lower,CI_Upper,ARIMA_Params,Is_Stationary
Pennsylvania,2023,% meeting 1,95.1004256263537,95.07927014617374,95.12158110653365,"(2, 2, 0)",False
Pennsylvania,2024,% meeting 1,95.09966416956922,95.07736316493543,95.12196517420301,"(2, 2, 0)",False
Pennsylvania,2023,% meeting 3,31.52593709190746,31.492292594366276,31.55958158944864,"(2, 2, 0)",False
Pennsylvania,2024,% meeting 3,17.933474821952203,17.899804720830282,17.967144923074123,"(2, 2, 0)",False
Pennsylvania,2023,% meeting 6,58.19290604211853,58.08481159366001,58.30100049057705,"(2, 2, 0)",False
Pennsylvania,2024,% meeting 6,67.16988409904532,66.89640759737922,67.44336060071142,"(2, 2, 0)",False
Nevada,2023,% meeting 1,95.67878720461735,95.6681340187089,95.6894403905258,"(3, 0, 0)",False
Nevada,2024,% meeting 1,95.20378347231906,95.19209819996608,95.21546874467204,"(3, 0, 0)",False
Nevada,2023,% meeting 3,5.963199249290737,5.877392724563139,6.049005774018335,"(2, 2, 0)",False
Nevada,2024,% meeting 3,16.790093206164798,16.681326076787396,16.8988603355422,"(2, 2, 0)",False
Nevada,2023,% meeting 6,39.21986393375723,39.15360180667277,39.286126060841696,"(2, 2, 0)",False
Nevada,2024,% meeting 6,39.69804790266594,39.596008688353635,39.80008711697825,"(2, 2, 0)",False
New Hampshire,2023,% meeting 1,81.84130899875586,81.74991776822411,81.93270022928762,"(2, 2, 0)",False
New Hampshire,2024,% meeting 1,70.17115521769428,70.02529181599162,70.31701861939693,"(2, 2, 0)",False
New Hampshire,2023,% meeting 3,19.233747278818264,19.148834200867686,19.31866035676884,"(2, 2, 0)",False
New Hampshire,2024,% meeting 3,7.159763483705927,6.979567176786805,7.339959790625048,"(2, 2, 0)",False
New Hampshire,2023,% meeting 6,96.13941935800351,96.02601149694794,96.25282721905907,"(2, 2, 0)",False
New Hampshire,2024,% meeting 6,116.67919159146143,116.34986901957983,117.00851416334304,"(2, 2, 0)",False
